FDK-AAC.txt,UNKNOWN
App s2p License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/App\ s2p\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/App\ s2p\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CECILL-C.txt,UNKNOWN
SIL Open Font License 1.1 with Reserved Font Name.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/SIL\ Open\ Font\ License\ 1.1\ with\ Reserved\ Font\ Name.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/SIL\ Open\ Font\ License\ 1.1\ with\ Reserved\ Font\ Name.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Good Luck With That Public License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Good\ Luck\ With\ That\ Public\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Good\ Luck\ With\ That\ Public\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
deprecated_GPL-2.0-with-font-exception.txt,UNKNOWN
Plexus Classworlds License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Plexus\ Classworlds\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Plexus\ Classworlds\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Boost Software License 1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Boost\ Software\ License\ 1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Boost\ Software\ License\ 1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
deprecated_bzip2-1.0.5.txt,UNKNOWN
BSD-1-Clause.txt,UNKNOWN
Enlightenment License (e16).txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Enlightenment\ License\ (e16).txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Enlightenment\ License\ (e16).txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GFDL-1.1-only.txt,UNKNOWN
Historical Permission Notice and Disclaimer - sell variant.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Historical\ Permission\ Notice\ and\ Disclaimer\ -\ sell\ variant.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Historical\ Permission\ Notice\ and\ Disclaimer\ -\ sell\ variant.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OLDAP-1.4.txt,UNKNOWN
Eclipse Public License 1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Eclipse\ Public\ License\ 1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Eclipse\ Public\ License\ 1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SWL-license.txt,UNKNOWN
EPL-1.0.txt,UNKNOWN
eGenix-license.txt,UNKNOWN
Aladdin Free Public License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Aladdin\ Free\ Public\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Aladdin\ Free\ Public\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Microsoft Reciprocal License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Microsoft\ Reciprocal\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Microsoft\ Reciprocal\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Spencer-86.txt,UNKNOWN
deprecated_GPL-3.0.txt,GPLv3+
Open Data Commons Open Database License v1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Open\ Data\ Commons\ Open\ Database\ License\ v1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Open\ Data\ Commons\ Open\ Database\ License\ v1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
LPPL-1.3c.txt,UNKNOWN
Code Project Open License 1.02.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Code\ Project\ Open\ License\ 1.02.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Code\ Project\ Open\ License\ 1.02.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Motosoto-license.txt,UNKNOWN
Mozilla Public License 1.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Mozilla\ Public\ License\ 1.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Mozilla\ Public\ License\ 1.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Adaptive Public License 1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Adaptive\ Public\ License\ 1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Adaptive\ Public\ License\ 1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Leptonica License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Leptonica\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Leptonica\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SSH-short.txt,NONE
GNU Free Documentation License v1.1 or later - invariants.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.1\ or\ later\ -\ invariants.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/GNU\ Free\ Documentation\ License\ v1.1\ or\ later\ -\ invariants.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Artistic License 1.0 (Perl).txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Artistic\ License\ 1.0\ (Perl).txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Artistic\ License\ 1.0\ (Perl).txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
GPL-3.0-or-later.txt,GPLv3+
NPL-1.0.txt,NPLv1_0
Licence Art Libre 1.2.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Licence\ Art\ Libre\ 1.2.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Licence\ Art\ Libre\ 1.2.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Academic Free License v2.1.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v2.1.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Academic\ Free\ License\ v2.1.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OSL-3.0.txt,UNKNOWN
OLDAP-2.0.1.txt,UNKNOWN
OFL-1.0-no-RFN.txt,UNKNOWN
BSD-Protection.txt,UNKNOWN
0BSD-license.txt,UNKNOWN
Ruby License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Ruby\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Ruby\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-NC-ND-3.0-IGO.txt,UNKNOWN
PDDL-1.0.txt,UNKNOWN
Creative Commons Attribution 3.0 Austria.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 3.0\ Austria.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Attribution\ 3.0\ Austria.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Crossword License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Crossword\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Crossword\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
OLDAP-1.1.txt,UNKNOWN
W3C-license.txt,UNKNOWN
Multics License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Multics\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Multics\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Afmparse License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Afmparse\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Afmparse\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Trusster Open Source License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Trusster\ Open\ Source\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Trusster\ Open\ Source\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
PolyForm Small Business License 1.0.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/PolyForm\ Small\ Business\ License\ 1.0.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/PolyForm\ Small\ Business\ License\ 1.0.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
mpich2 License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/mpich2\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/mpich2\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
SGI Free Software License B v1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/SGI\ Free\ Software\ License\ B\ v1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/SGI\ Free\ Software\ License\ B\ v1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
NIST Public Domain Notice with license fallback.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/NIST\ Public\ Domain\ Notice\ with\ license\ fallback.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/NIST\ Public\ Domain\ Notice\ with\ license\ fallback.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-PDDC.txt,UNKNOWN
NLOD-2.0.txt,UNKNOWN
Xerox-license.txt,UNKNOWN
Community-Spec-1.0.txt,UNKNOWN
Eiffel Forum License v1.0.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Eiffel\ Forum\ License\ v1.0.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Eiffel\ Forum\ License\ v1.0.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
Newsletr-license.txt,UNKNOWN
SugarCRM Public License v1.1.3.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/SugarCRM\ Public\ License\ v1.1.3.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/SugarCRM\ Public\ License\ v1.1.3.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
CC-BY-3.0-US.txt,UNKNOWN
BSD 3-Clause No Nuclear License.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/BSD\ 3-Clause\ No\ Nuclear\ License.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/BSD\ 3-Clause\ No\ Nuclear\ License.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
MITNFA-license.txt,MITX11noNotice
CC-BY-NC-SA-2.0-UK.txt,UNKNOWN
CNRI-Jython.txt,UNKNOWN
SISSL-1.2.txt,UNKNOWN
Bitstream-Vera.txt,UNKNOWN
Creative Commons Zero v1.0 Universal.txt,"Error scanning file: execution of program [head -700 license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Zero\ v1.0\ Universal.txt] failed: status [256], error [head: cannot open 'license_llm/Data/license/liresolver/licenses/Creative\ Commons\ Zero\ v1.0\ Universal.txt' for reading: No such file or directory
] at /home/zhz/perl5/lib/perl5/Ninka/CommentExtractor.pm line 76."
