license,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty
Apache License 2.0___Apache-2.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,can
MIT License___MIT-license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
Microsoft Public License___MS-PL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
GNU General Public License v2.0 only___GPL-2.0-only___GPL-2.0-or-later,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
GNU General Public License v3.0 only___GPL-3.0-only___GPL-3.0-or-later,can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot,can
Mozilla Public License 2.0___MPL-2.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can
GNU Lesser General Public License v2.1 only___LGPL-2.1-only,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
BSD-2-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
BSD-3-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
zlib License___Zlib-license___Libpng-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Common Development and Distribution License___CDDL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can
Beer Recipe License___BRL,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
psfrag License___psfrag-license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
Creative Commons Attribution 3.0 Unported___CC-BY___CC-BY-3.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution NoDerivs___CC-ND,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution NonCommercial___CC-BY-NC-4.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution Share Alike___CC-SA,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution NonCommercial ShareAlike___CC-NC-SA,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Creative Commons Attribution NonCommercial NoDerivs___CC-NC-ND,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Academic Free License___AFL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Artistic License 2.0___Artistic-2.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
PHP License 3.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Simple Public License 2.0___SPL-2.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot
Eclipse Public License 1.0___EPL-1.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,cannot
IBM Public License___IPL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Apple Public Source License___APSL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can
University of Illinois - NCSA Open Source___NCSA,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Do What The Fuck You Want To Public License___WTFPL-license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
ISC License___ISC-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Beerware License___Beerware-license,can,can,can,cannot,cannot,cannot,can,can,cannot,cannot,can
Microsoft Reciprocal License___Ms-RL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Python Software Foundation License 2.0___PSF-2.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
GNU Affero General Public License v3.0 only___AGPL-3.0-only,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
SIL Open Font License v1.1___OFL-1.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
TÃ³ca Operating System General___TOSG-2.00,can,can,can,cannot,cannot,cannot,cannot,must,cannot,cannot,cannot
The Code Project Open License___CPOL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
ODC Open Database License___ODbL,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
DON'T BE A DICK PUBLIC LICENSE,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
X11 License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
JSON License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot
Lisp Lesser General Public License___LLGPL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Common Public Attribution License___CPAL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can
Aladdin Free Public License,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Clarified Artistic License,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Frameworx Open License___Frameworx-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Freetype Project License___FTL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Qhull,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can
The Don't Ask Me About It,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
European Union Public License___EUPL-1.1,can,cannot,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
The Unlicense,cannot,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot
MiTTY,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot
Fair License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot
Educational Community License___ECL-2.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can
