license,,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty,Include Copyright,Include License,Include Notice,Disclose Source,State Changes,Include Original,Give Credit,Rename,Contact Author,Include Install Instructions,Compensate for Damages,Pay Above Use Threshold
Apache License 2.0___Apache-2.0,Apache-2.0,2,2,2,4,3,2,2,4,2,3,2,1,1,1,4,1,4,4,4,4,4,4,4
MIT License___MIT-license,MIT,2,2,2,4,3,4,2,4,2,4,4,1,1,4,4,4,4,4,4,4,4,4,4
Microsoft Public License___MS-PL,MS-PL,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4
GNU General Public License v2.0 only___GPL-2.0-only___GPL-2.0-or-later,GPL-2.0-only,2,2,2,4,3,4,3,4,4,4,2,1,1,4,1,1,1,4,4,4,4,4,4
GNU General Public License v3.0 only___GPL-3.0-only___GPL-3.0-or-later,GPL-3.0-only,2,2,2,4,3,2,3,4,4,4,2,1,1,4,1,1,1,4,4,4,1,4,4
Mozilla Public License 2.0___MPL-2.0,MPL-2.0,2,2,2,4,3,2,2,4,4,3,2,1,1,4,1,4,1,4,4,4,4,4,4
GNU Lesser General Public License v2.1 only___LGPL-2.1-only,LGPL-2.1-only,2,2,2,4,3,4,3,2,2,4,2,1,1,1,1,1,1,4,4,4,4,4,4
BSD-2-Clause,,2,2,2,4,3,4,4,4,4,4,2,1,1,4,4,4,4,4,4,4,4,4,4
BSD-3-Clause,,2,2,2,4,3,4,4,4,4,3,2,1,1,4,4,4,4,4,4,4,4,4,4
zlib License___Zlib-license___Libpng-license,Zlib,2,2,2,4,3,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4
Common Development and Distribution License___CDDL-1.0,CDDL-1.0,2,2,2,2,3,2,2,4,2,3,2,1,1,4,1,4,4,1,4,4,4,1,4
Beer Recipe License___BRL,BRL,2,2,2,4,3,4,2,4,2,4,4,1,1,4,4,4,1,4,4,4,4,4,4
psfrag License___psfrag-license,psfrag,2,2,2,4,3,4,4,4,2,4,4,4,4,1,4,4,4,4,4,4,4,4,4
Creative Commons Attribution 3.0 Unported___CC-BY___CC-BY-3.0,CC-BY,2,2,2,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution NoDerivs___CC-ND,CC-ND,2,3,2,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution NonCommercial___CC-BY-NC-4.0,CC-BY-NC-4.0,2,2,3,4,3,4,3,4,4,4,3,1,4,4,4,1,4,1,4,4,4,4,4
Creative Commons Attribution Share Alike___CC-SA,CC-SA,2,2,2,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution NonCommercial ShareAlike___CC-NC-SA,CC-NC-SA,2,2,3,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Creative Commons Attribution NonCommercial NoDerivs___CC-NC-ND,CC-NC-ND,2,3,3,4,3,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,4,4,4
Academic Free License___AFL,AFL,2,2,2,4,3,4,2,4,4,3,4,1,4,4,1,4,1,4,4,4,4,4,4
Artistic License 2.0___Artistic-2.0,Artistic-2.0,2,2,2,4,3,4,2,4,2,3,4,4,4,4,4,1,1,4,1,4,1,4,4
PHP License 3.0,,2,2,2,4,3,4,2,4,4,3,4,1,1,4,4,4,4,4,4,4,4,4,4
Simple Public License 2.0___SPL-2.0,SPL-2.0,2,2,2,4,2,4,3,4,4,4,4,4,1,4,1,1,4,4,4,4,4,4,4
Eclipse Public License 1.0___EPL-1.0,EPL-1.0,2,2,2,4,3,2,2,4,2,3,4,1,1,1,1,4,1,1,4,4,1,1,4
IBM Public License___IPL,IPL,2,2,2,4,3,4,2,4,2,3,2,1,1,1,1,4,4,1,1,4,1,4,4
Apple Public Source License___APSL,APSL,2,2,2,4,3,4,2,4,4,3,2,1,1,4,1,1,4,4,4,4,4,4,4
University of Illinois - NCSA Open Source___NCSA,NCSA,2,2,2,4,3,4,2,4,2,3,3,1,1,4,4,4,4,4,4,4,4,4,4
