license,Distribute,Modify,Commercial Use,Relicense,Hold Liable,Use Patent Claims,Sublicense,Statically Link,Private Use,Use Trademark,Place Warranty,Include Copyright,Include License,Include Notice,Disclose Source,State Changes,Include Original,Give Credit,Rename,Contact Author,Include Install Instructions,Compensate for Damages,Pay Above Use Threshold
Apache License 2.0___Apache-2.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,can,must,must,must,can,must,can,can,can,can,can,can,can
MIT License___MIT-license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Microsoft Public License___MS-PL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
GNU General Public License v2.0 only___GPL-2.0-only___GPL-2.0-or-later,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,can,must,must,must,can,can,can,can,can,can
GNU General Public License v3.0 only___GPL-3.0-only___GPL-3.0-or-later,can,can,can,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,must,can,must,must,must,can,can,can,must,can,can
Mozilla Public License 2.0___MPL-2.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can,must,must,can,must,can,must,can,can,can,can,can,can
GNU Lesser General Public License v2.1 only___LGPL-2.1-only,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,must,must,must,must,can,can,can,can,can,can
BSD-2-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,can,can,can,can,can,can,can,can,can,can
BSD-3-Clause,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,can,can,can,can,can,can,can,can,can,can
zlib License___Zlib-license___Libpng-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,must,can,can,can,can
Common Development and Distribution License___CDDL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can,must,must,can,must,can,can,can,can,can,can,can,can
Beer Recipe License___BRL,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,must,can,can,can,can,can,can
psfrag License___psfrag-license,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,must,can,can,can,can,can,can,can,can,can
Creative Commons Attribution 3.0 Unported___CC-BY___CC-BY-3.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Creative Commons Attribution NoDerivs___CC-ND,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Creative Commons Attribution NonCommercial___CC-BY-NC-4.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,must,can,must,can,can,can,can,can
Creative Commons Attribution Share Alike___CC-SA,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Creative Commons Attribution NonCommercial ShareAlike___CC-NC-SA,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Creative Commons Attribution NonCommercial NoDerivs___CC-NC-ND,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,can,can,can,can,can,can,can,can,can
Academic Free License___AFL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,can,can,must,can,must,can,can,can,can,can,can
Artistic License 2.0___Artistic-2.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,must,must,can,must,can,must,can,can
PHP License 3.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Simple Public License 2.0___SPL-2.0,can,can,can,cannot,can,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,must,must,can,can,can,can,can,can,can
Eclipse Public License 1.0___EPL-1.0,can,can,can,cannot,cannot,can,can,cannot,can,cannot,cannot,must,must,can,must,can,must,can,can,can,must,must,can
IBM Public License___IPL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,must,can,can,can,can,can,can,can,can
Apple Public Source License___APSL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,can,must,must,can,must,must,can,can,can,can,can,can,can
University of Illinois - NCSA Open Source___NCSA,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,can,can,can,can,can,can,can,can,can
Do What The Fuck You Want To Public License___WTFPL-license,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can
ISC License___ISC-license,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Beerware License___Beerware-license,can,can,can,cannot,cannot,cannot,can,can,cannot,cannot,can,must,can,can,can,can,can,can,can,can,can,can,can
Microsoft Reciprocal License___Ms-RL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Python Software Foundation License 2.0___PSF-2.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,must,can,can,can,can,can,can,can
GNU Affero General Public License v3.0 only___AGPL-3.0-only,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,can,must,must,can,can,can,can,must,can,can
SIL Open Font License v1.1___OFL-1.1,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,can,can,can,can,must,can,can,can,can
TÃ³ca Operating System General___TOSG-2.00,can,can,can,cannot,cannot,cannot,cannot,must,cannot,cannot,cannot,can,can,can,must,must,can,can,can,can,can,can,can
The Code Project Open License___CPOL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,can,can,can,must,cannot,can,can,can,can,can,can
ODC Open Database License___ODbL,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,must,can,can,can,must,can,can,can,can,can,can
DON'T BE A DICK PUBLIC LICENSE,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can,can,can
X11 License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
JSON License,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Lisp Lesser General Public License___LLGPL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,can,can,can,can,must,can,can,can,can,can,can
Common Public Attribution License___CPAL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,can,must,must,must,must,must,can,can,can,can,can,can,can
Aladdin Free Public License,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,can,must,must,can,can,can,can,can,can
Clarified Artistic License,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,can,can,must,must,can,can,can,can,can,can,can
Frameworx Open License___Frameworx-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,must,must,can,can,can,can,can,can,can,can
Freetype Project License___FTL,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
Qhull,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,must,must,must,can,can,can,can,can,can,can
The Don't Ask Me About It,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,can,can,can,can,can,can,can,can,cannot,can,can,can
European Union Public License___EUPL-1.1,can,cannot,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,must,must,can,must,must,can,can,can,can,can,can,can
The Unlicense,cannot,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,cannot,cannot,can,can,can,can,can,can,can,can,can,can,can
MiTTY,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,can,can,can,can,can,can,can,must,can,can,can
Fair License,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,can,must,can,can,can,can,can,can,can,can,can,can
Educational Community License___ECL-2.0,can,can,can,cannot,cannot,cannot,can,cannot,can,cannot,can,must,must,must,can,must,can,can,can,can,can,can,can
Ubuntu Font License___UFL-1.0,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,cannot,can,can,can,can
Open Software Licence 3.0___OSL-3.0,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Adaptive Public License 1.0___APL-1.0,can,can,can,cannot,cannot,cannot,cannot,cannot,can,cannot,can,can,must,must,must,must,can,must,can,can,can,can,can
ANTLR Software Rights Notice___ANTLR-PD,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,can,can,can,can,can,can,must,can,can,can,can,can
Attribution Assurance License___AAL,can,can,can,cannot,cannot,cannot,cannot,cannot,cannot,cannot,cannot,can,must,can,can,can,can,must,can,can,can,can,can
Common Public License___CPL-1.0,can,can,can,cannot,cannot,can,can,cannot,cannot,cannot,cannot,must,must,can,must,can,can,can,can,can,can,can,can
Condor Public License___Condor-1.1,can,can,can,cannot,cannot,cannot,can,cannot,cannot,cannot,cannot,must,must,can,can,can,can,can,can,can,can,can,can
